level_token,official_level_name,ages,seats_per_class_proposed,evidence,max_openings_observed,n_classes_observed,source_urls,confidence,notes
ParentTot,ParentTot (parent-in-water program; "Comfortable" stage of 4 C's),4 months - 3 years,6,both,7,169,"https://www.safesplash.com/locations/torrance-del-amo-ca/toddler-and-infant-swimming-lessons; https://www.safesplashswimlabs.com/locations/fort-mill-sc",high,"Published cap varies by location: Fort Mill SC states 'Up to 5 parent/kiddo combos to 1 instructor'; other locations (Milpitas etc, via search snippets) state 'up to 6'. Empirical: 5-6 is the observed ceiling at 9+ of our 25 accounts (alexandriakingstowneva, concordaftonridgenc, friscolittleelmtx, lonetreeco, mckinneycentralexpyeldoradotx, morrisvilletrianglenc, sterlingva, torrancedelamoca, voorheesnj), with a single outlier at 7 (longbeachbellflowerca). Propose 6 as the modal ceiling. Combo/legacy naming variants folded in: 'ParentTot 1', 'ParentTot 2', 'Parent-Tot', 'Parent -Tot' (all in safesplash_level_inventory.csv)."
Toddler Transition,Toddler Transition (pre-group bridge program),2 - 3 years,3,both,4,284,"https://www.safesplashswimlabs.com/locations/fort-mill-sc",high,"Fort Mill SC published: 'Up to 3 students per class', ages 2-3. Empirical: 3 is the ceiling in the overwhelming majority of ~280 classes across 11 accounts; only 2 isolated classes (atlantagavinings, mckinneycentralexpyeldoradotx) show 4. Appears both as its own TODDLER TRANSITION format tag and nested inside GROUP-tagged names."
Beginner 1,"Beginner 1 (""Comfortable"" stage: basic safety, blowing bubbles, front/back float)",3+ (no prior swim experience),4,both,4,515,"https://www.safesplash.com/locations/secaucus-nj; https://www.safesplashswimlabs.com/locations/fort-mill-sc; https://www.safesplash.com/swim-lessons",high,"'Up to 4 students per class' confirmed verbatim at 2 in-sample locations (Secaucus NJ, Fort Mill SC) plus Sacramento/Denver/Kansas City/Columbia Heights via search snippets. Empirical ceiling = 4 across 24 of 25 accounts, no exceptions observed."
Beginner 2,"Beginner 2 (""Capable"" stage begins: independent freestyle, backstroke intro)",4+,4,both,4,481,"https://www.safesplash.com/locations/secaucus-nj; https://www.safesplashswimlabs.com/locations/fort-mill-sc",high,"Same published 4-cap as Beginner 1. Empirical ceiling = 4 across 25 of 25 accounts, no exceptions."
Beginner 3,"Beginner 3 (""Capable"" stage: stronger technique, longer distances, new transitions)",4+,4,both,4,395,"https://www.safesplash.com/locations/secaucus-nj; https://www.safesplashswimlabs.com/locations/fort-mill-sc",high,"Same published 4-cap. Empirical ceiling = 4 across 24 of 25 accounts, no exceptions."
Beginner 4,"Beginner 4 (""Capable"" stage: skills refined + tested for S.A.F.E.R. Swimmer Test)",4+,4,both,5,317,"https://www.safesplash.com/locations/secaucus-nj; https://www.safesplashswimlabs.com/locations/fort-mill-sc",high,"Same published 4-cap. Empirical ceiling = 4 in 24 of 25 accounts; ONE outlier class at friscolittleelmtx shows openings=5 (single class of 317) -- treated as a local override/anomaly, not the norm."
Intermediate 1,"Intermediate 1 (""Confident"" stage: freestyle side-breathing, backstroke technique)",continuation from Beginner 4 (no separate published age band),4,both,6,232,"https://www.safesplash.com/locations/secaucus-nj; https://www.safesplashswimlabs.com/locations/fort-mill-sc",high,"Published 'up to 4' applies to all group levels beginner-advanced per Secaucus copy. Empirical ceiling = 4 in 21 of 22 accounts; ONE outlier class at sterlingva shows openings=6 (single class of 232) -- flagged conflict, resolved as an isolated local override (see report open questions), NOT adopted as the seat count."
Intermediate 2,Intermediate 2 (""Confident"" stage continues),continuation from Intermediate 1,4,both,4,178,"https://www.safesplash.com/locations/secaucus-nj; https://www.safesplashswimlabs.com/locations/fort-mill-sc",high,"Empirical ceiling = 4 across 21 of 21 accounts, no exceptions."
Intermediate 3,"Intermediate 3 (""Confident"" stage: breaststroke through butterfly)",continuation from Intermediate 2,4,both,4,99,"https://www.safesplash.com/locations/secaucus-nj; https://www.safesplashswimlabs.com/locations/fort-mill-sc",high,"Empirical ceiling = 4 across 17 of 17 accounts, no exceptions."
Advanced,"Advanced / Advanced 1 / Advanced 2 (""Competitive"" stage)",continuation from Intermediate 3,4,both,4,63,"https://www.safesplash.com/locations/secaucus-nj; https://www.safesplashswimlabs.com/locations/fort-mill-sc",high,"Empirical ceiling = 4 across 14 accounts (combining 'Advanced', 'Advanced 1', 'Advanced 2' naming variants), no exceptions above 4."
Adult Group,"Adult Group / Adult Beginner / Adult Intermediate / Adult Advanced / Adult LTS 1-2 / ALTS",16+ (SafeSplash) / 15+ (SwimLabs sub-brand),3,both,4,207,"https://www.safesplash.com/locations/secaucus-nj; https://www.safesplashswimlabs.com/locations/fort-mill-sc",med,"Published verbatim at both in-sample locations: 'Up to 3 students per class.' Empirical: 3 is the ceiling at the majority of accounts (11 of 25), BUT 9 individual classes across 4 different accounts (atlantagavinings, cedargrovenj, concordaftonridgenc, sterlingva) show openings=4 -- a real, location-spread minority pattern, not a single fluke. CONFLICT NOT FULLY RESOLVED: propose 3 as the primary published+majority value, but flag that ~15-20% of locations may actually run Adult classes at a 4-seat cap identical to youth Group. If precision matters for a specific location, verify locally."
Private,"Private Lesson (all levels; standard 1:1 format)",all ages,1,both,3,433,"https://www.safesplash.com/swim-lessons; https://www.safesplash.com/private-swimming-lessons",high,"'Focused, 1-on-1 instruction' -- private = 1 swimmer : 1 instructor by definition, confirmed across many location pages. Empirical: openings never exceeds 1 in 428 of 433 classes. 5 isolated classes (atlantagavinings, hollyspringsnc, sterlingva x2, and 1 more) show openings=3 -- RECONCILED against a real published product: SwimLabs Orange County explicitly documents '3-Person Private' lessons ('3-person private lessons are available for all skill levels... We do not match swimmers up for this option'), i.e. up to 3 siblings/friends can book one private slot together under the PRIVATE tag. Not a data error. Standard Private=1 (high confidence); 3-person-private variant exists but is rare in our data (med confidence, no exact published seat cap beyond '3-person' name itself). Also observed: '[[level]]' (51 classes) is an unrendered iClassPro template placeholder, not a real level; '20-Min Private' is a shorter-duration variant, still capacity 1."
Semi-Private,Semi-Private Lesson (all levels; 2-swimmer format),all ages (commonly siblings/friends),2,both,3,327,"https://www.safesplash.com/swim-lessons; https://www.safesplash.com/locations/secaucus-nj",high,"'Semi-private lessons pair two swimmers with one instructor' (safesplash.com/swim-lessons); Secaucus: '2 swimmers (or 1 if needed)'. Empirical: openings never exceeds 2 in 326 of 327 classes. ONE outlier class (secaucusnj, Beginner 4) shows openings=3 -- isolated, likely a one-off triple-sibling accommodation or a rare '3-person semi' analog to the private variant above. Standard Semi-Private=2, high confidence."
Adaptive Swim / Adaptive Aquatics,"Adaptive Aquatics (Adaptive Swim 1-3, Special Needs) -- individualized instruction, format varies (private/semi/small group) by student need",all ages,1,inferred,3,36,"https://www.safesplash.com/swim-lessons",med,"No published seat cap found; SafeSplash site only states the program exists ('group classes, private lessons, or adaptive aquatics'). Empirically most Adaptive classes are tagged PRIVATE or their own ADAPTIVE AQUATICS format tag and openings rarely exceed 1 (max=3 in a few outlier classes, small n=36 across 5 accounts). Proposing 1 (private-style default) as the safest floor since adaptive instruction is typically individualized, but this is the level we are LEAST confident about -- treat as a placeholder, not a validated number."
WAVE / Competitive Team,"WAVE (Beginner/Intermediate/Advanced/Competitive, JR+SR Team, Fitness and Fun) -- competitive swim TEAM practice, not a learn-to-swim lesson",varies (youth through adult competitive swimmers),NOT_A_LESSON_LEVEL,excluded,20,31,n/a,n/a,"EXCLUDED from the seats-per-class table entirely. openings reaches as high as 20 (WAVE: Competitive) and 13 (WAVE Advanced) -- these are swim-team practice groups sized nothing like a learn-to-swim class and would badly distort any enrollment-capacity model if treated as a 'level'. Retained here only as a footnote/warning for anyone re-running this sweep."
Group default (fallback),"Any GROUP-tagged level not explicitly listed above (novel/legacy naming)",n/a,4,inferred,n/a,n/a,n/a,med,"Fallback mirroring the Goldfish table's 'Group default' row. Every core SafeSplash GROUP-tagged level we found (Beginner 1-4, Intermediate 1-3, Advanced) empirically caps at 4, so 4 is the reasonable default for any unlisted GROUP-tagged class name."
Private default (fallback),Any PRIVATE-tagged level not explicitly listed above,n/a,1,inferred,n/a,n/a,n/a,med,"Fallback mirroring Goldfish's Private=1 row. See Private notes above re: rare 3-person variant."
Semi-Private default (fallback),Any SEMI-PRIVATE-tagged level not explicitly listed above,n/a,2,inferred,n/a,n/a,n/a,med,"Fallback mirroring Goldfish's Semi-Private=2 row."
