level_name,ages,seats_per_class_proposed,evidence,source_urls,confidence,notes
Level 1 - Tadpoles (Parent & Tot),4-12 months,4,"""4 babies with caregivers 1 instructor""",https://www.aqua-tots.com/swim-levels/baby-swim-lessons/ | https://www.aqua-tots.com/faq/,high,Caregiver is in the water with child; the 4 seats are 4 child-caregiver pairs per 1 instructor -- same numeric ratio as standard group class
Level 2 - Minnows (Parent & Tot),13-30 months,4,"""4 Toddlers with Caregivers / 1 Instructor""",https://www.aqua-tots.com/swim-levels/toddler-swim-classes/ | https://www.aqua-tots.com/faq/,high,Caregiver is in the water with child; same 4:1 structure as Level 1
Level 3 - Leapfrogs,2.5 years and up (first class without caregiver in water),4,"FAQ states universal ""4:1 student to instructor ratio"" for all group lessons; live booking widget on 2 sampled location schedule pages shows Level 3 offered as standard group class alongside every other numbered level (identical event-item / ratio structure, no differentiation flagged)",https://www.aqua-tots.com/swim-levels/ | https://www.aqua-tots.com/faq/ | https://www.aqua-tots.com/central-phoenix/schedule/ | https://www.aqua-tots.com/mount-laurel/schedule/,med,"Dedicated Level 3 detail page not located (guessed URL 404s). Live booking system splits Level 3 into two bookable sub-classes by age/ability: ""3 - Younger Leapfrog"" and ""3 - Older Leapfrog"" -- confirmed identically at both sampled locations (Central Phoenix AZ, Mount Laurel NJ), so likely a system-wide naming convention, not a local one-off"
Level 4 - Seahorses,Based on Ability (no fixed age band published),4,"""4 Students 1 Instructor""",https://www.aqua-tots.com/swim-levels/beginner-swim-lessons/,high,Placement is skill-based not age-based per official site language
Level 5 - Starfish,Based on Ability (no fixed age band published),4,"""4 Students 1 Instructor""",https://www.aqua-tots.com/swim-levels/beginner-intermediate-swim-lessons/,high,Placement is skill-based not age-based; page lists prerequisite skills (kick w/ face submerged, independent back float, swim 5-10 ft)
Level 6 - Seals,Based on Ability (no fixed age band published),4,"Universal FAQ ""4:1"" ratio claim; pattern confirmed explicitly on all 6 other levels checked (1,2,4,5,7,8)",https://www.aqua-tots.com/swim-levels/ | https://www.aqua-tots.com/faq/,med,Dedicated Level 6 detail page not located in this pass; ratio inferred from universal pattern rather than a level-6-specific quote
Level 7 - Sharks,"Advanced swimmers; ""average age of older kids in Level 7 is typically 8-12 years old, varies by skill""",4,"""4 Students 1 Instructor""",https://www.aqua-tots.com/swim-levels/advanced-swim-lessons/,high,
Level 8 - Stingrays,"Advanced swimmers; ""average age of older kids in Level 8 is typically 8-12 years old""",4,"""4 Students 1 Instructor""",https://www.aqua-tots.com/swim-levels/advanced-swim-lessons-older-kids/,high,Adds flip-turn instruction per official description
Private,All ages (individualized),1,"""one-on-one instruction""",https://www.aqua-tots.com/level-finder/,high,
Semi-Private,All ages (individualized),2,"""2 students to 1 instructor""",https://www.aqua-tots.com/level-finder/,high,
S.N.A.P. Adaptive (special needs),All ages,1,"""S.N.A.P. classes create private lessons tailored to your child's special needs and abilities""",https://www.aqua-tots.com/swim-levels/additional-swim-services/,med,Described as private-format lessons; exact 1:1 ratio not stated verbatim but functionally implied by ""private lessons"" framing
