level_token,official_level_name,ages,seats_per_class_proposed,evidence,max_openings_observed,n_classes_observed,source_urls,confidence,notes
Bathtime Babies,Bathtime Babies,2-5 months,10,both (conflict -- see notes),12,27,"https://emlerswimschool.com/programs/swim-levels/; https://selbyleisurecentre.org/how-much-does-emler-swim-school-cost/",med,"Published ratio is 10:1 (confirmed independently by 2 sources incl. 3rd-party pricing page). Observed max openings across 11 sites = 12, from emlerdfw1__loc10 (Allen TX) -- 4 separate class observations at that one site ran 9/9/12 openings, i.e. a real recurring pattern, not a one-off glitch. All other 10 sites topped out at <=10. Proposing the brand-published 10 as the single system-wide number (matches 10 of 11 sites); flag Allen as a local outlier that would need seats=12 if modeled site-by-site. This is a parent-participation class -- 'openings' likely counts the CHILD (student) seat only, parent is not a booked seat, so the ratio quote (10 children : 1 instructor) is the right comparison, not a headcount-in-pool number."
Level 1A,Level 1A,6-16 months,6,both,6,131,"https://emlerswimschool.com/programs/swim-levels/; https://emlerswimschool.com/about/frequently-asked-questions/",high,"Toddler level, parent NOT required in water per FAQ phrasing ('Level 2 has 4:1 since parents are no longer in the water' implies 1A/1B still have parent-adjacent supervision at 6:1). Published 6:1 and observed max openings (6, hit at multiple sites) match exactly."
Level 1B,Level 1B,16-35 months,6,both,6,209,"https://emlerswimschool.com/programs/swim-levels/; https://emlerswimschool.com/about/frequently-asked-questions/",high,"Published 6:1 and observed max openings (6) match exactly. Age band overlaps published Level 2 band (24-35mo vs Level 2's 24-35mo) -- Emler appears to place kids by skill readiness within a shared age window, not a strict single-age cutoff; not a data error, just how the brand's own published table reads."
Level 2,Level 2,24-35 months,4,both,4,145,https://emlerswimschool.com/programs/swim-levels/,high,"First level after parents exit the water per FAQ. Published 4:1 and observed max openings (4) match exactly, and every site independently hit the same ceiling (no site above 4)."
Level 3,Level 3,3 years,4,both,4,192,https://emlerswimschool.com/programs/swim-levels/,high,"Published 4:1 and observed max openings (4) match exactly across all 6 accounts / 11 sites."
Level 4,Level 4,3 years,4,both,4,126,https://emlerswimschool.com/programs/swim-levels/,high,"Published 4:1 and observed max openings (4) match exactly."
Level 5,Level 5,3 years,4,both,4,43,https://emlerswimschool.com/programs/swim-levels/,high,"Published 4:1 and observed max openings (4) match exactly (smaller sample, 4 accounts/8 sites, but zero exceptions)."
Level 6,Level 6,4+ years,4,both,4,274,https://emlerswimschool.com/programs/swim-levels/,high,"Published 4:1 and observed max openings (4) match exactly across all 6 accounts / 11 sites -- largest sample of any ability level."
Level 7,Level 7,4+ years,4,both,4,312,https://emlerswimschool.com/programs/swim-levels/,high,"Published 4:1 and observed max openings (4) match exactly; largest single-token sample in the whole sweep (312 classes)."
Level 8,Level 8,4+ years,4,both,4,265,https://emlerswimschool.com/programs/swim-levels/,high,"Published 4:1 and observed max openings (4) match exactly."
Level 9,Level 9,4+ years,4,both,4,131,https://emlerswimschool.com/programs/swim-levels/,high,"Published 4:1 and observed max openings (4) match exactly."
Level 10,Level 10,5+ years,4,both,4,115,http://emlerswimschool.com/programs/swim-levels/advanced-swim-lessons/,high,"Published 4:1 and observed max openings (4) match exactly."
Level 11,Level 11,5+ years,4,both,4,62,http://emlerswimschool.com/programs/swim-levels/advanced-swim-lessons/,high,"Published 4:1 and observed max openings (4) match exactly (smallest ability-level sample, 62 classes, but still zero exceptions above 4)."
Swim Team Prep,Swim Team Prep,5+ years,10,both (conflict -- see notes),12,21,"http://emlerswimschool.com/programs/swim-levels/advanced-swim-lessons/; https://emlerswimschool.com/news/swimming-through-11-levels/",med,"Published 10:1, 60-minute class. One observation (emleraustin__loc1, Monday 6:30-7:30) showed 12 openings -- a single site/single slot, could be a genuinely larger squad-style session or a data artifact (e.g. combined lanes). Proposing published 10 as the system default; flag as shaky if Austin-Westlake is modeled individually."
Adult,Adult,"Adult (18+, not age-banded in published levels)",4,both,4,58,https://emlerswimschool.com/about/frequently-asked-questions/,high,"FAQ: 'Most adult classes are small, typically capped at 4 swimmers per instructor.' Observed max openings (4) match exactly, no exceptions across 5 accounts/10 sites."
Private,Private Lessons,2 years+ (per private-lessons page: 'available for ages 2 and up'),1,both,1,156,https://emlerswimschool.com/programs/private-swimming-lessons/,high,"Official page describes private lessons as strictly 'One-on-One' with no group-size variants mentioned. Observed max openings across 156 classes / 4 accounts / 9 sites = 1 in every single case -- zero exceptions, strongest confirmation in the dataset."
Semi-Private,Semi-Private Lessons,2 years+ (assumed same min age as Private -- not separately published),2,observed_openings (inferred),2,15,(no official Emler page found publishing a semi-private ratio -- see research_emler.md),med,"Emler's own site does not appear to publish a semi-private group size (extensive search found the FORMAT referenced in class names and in a 3rd-party pricing recap, but no official ratio quote). Observed max openings = 2 in all 15 classes (2 accounts, 5 sites) -- clean, zero exceptions, and matches the standard 2-seat semi-private convention used industry-wide (incl. Goldfish's own validated table). Treat as inferred/medium confidence pending an official Emler quote."
